County Name,State,Estimated hesitant,Estimated hesitant or unsure,Estimated strongly hesitant,Percent adults fully vaccinated against COVID-19 (as of 6/10/21)
McPherson County Nebraska,NEBRASKA,8.7%,13.18%,5.37%,10.9%
Boyd County Nebraska,NEBRASKA,8.42%,12.87%,5.16%,31.2%
Strafford County New Hampshire,NEW HAMPSHIRE,10.58%,13.37%,6.92%,55.7%
Dawes County Nebraska,NEBRASKA,8.42%,12.87%,5.16%,32.2%
Arthur County Nebraska,NEBRASKA,8.7%,13.18%,5.37%,16.5%
Nemaha County Nebraska,NEBRASKA,8.91%,13.54%,5.55%,46.2%
Ocean County New Jersey,NEW JERSEY,5.48%,11.58%,3.72%,53.2%
Garden County Nebraska,NEBRASKA,8.42%,12.87%,5.16%,42.4%
Webster County Nebraska,NEBRASKA,8.93%,13.5%,5.49%,36.3%
Scotts Bluff County Nebraska,NEBRASKA,8.42%,12.87%,5.16%,34.4%
Douglas County Nevada,NEVADA,12.33%,19.58%,6.62%,47%
Frontier County Nebraska,NEBRASKA,8.7%,13.18%,5.37%,22.6%
Clay County Nebraska,NEBRASKA,8.93%,13.5%,5.49%,39.3%
Howard County Nebraska,NEBRASKA,9.03%,13.8%,5.58%,41.6%
Pershing County Nevada,NEVADA,13.9%,22.26%,7.55%,32.4%
Mercer County New Jersey,NEW JERSEY,4.81%,10.9%,3.27%,55.5%
Chase County Nebraska,NEBRASKA,8.7%,13.18%,5.37%,27.6%
Yellowstone County Montana,MONTANA,25.31%,30.19%,17.23%,46.5%
Pawnee County Nebraska,NEBRASKA,8.91%,13.54%,5.55%,42%
Belknap County New Hampshire,NEW HAMPSHIRE,10.24%,12.66%,6.77%,58.4%
Kearney County Nebraska,NEBRASKA,8.93%,13.5%,5.49%,44.9%
Richardson County Nebraska,NEBRASKA,8.91%,13.54%,5.55%,48.6%
Douglas County Nebraska,NEBRASKA,8.11%,12.64%,4.93%,58.2%
Somerset County New Jersey,NEW JERSEY,3.72%,7.99%,2.54%,64.8%
Dakota County Nebraska,NEBRASKA,8.48%,12.88%,5.21%,57.4%
Hayes County Nebraska,NEBRASKA,8.7%,13.18%,5.37%,20.3%
Burt County Nebraska,NEBRASKA,8.48%,12.88%,5.21%,54.8%
Eureka County Nevada,NEVADA,13.9%,22.26%,7.55%,24.7%
Treasure County Montana,MONTANA,26.39%,31.31%,17.99%,44.1%
Rockingham County New Hampshire,NEW HAMPSHIRE,9.23%,11.25%,6.1%,60.5%
Gloucester County New Jersey,NEW JERSEY,5.37%,11.6%,3.65%,56.2%
Platte County Nebraska,NEBRASKA,8.48%,12.88%,5.21%,41.7%
Thomas County Nebraska,NEBRASKA,8.7%,13.18%,5.37%,22%
Burlington County New Jersey,NEW JERSEY,5.05%,10.92%,3.44%,65.5%
Greeley County Nebraska,NEBRASKA,9.03%,13.8%,5.58%,39.7%
Box Butte County Nebraska,NEBRASKA,8.42%,12.87%,5.16%,28.4%
Madison County Nebraska,NEBRASKA,8.48%,12.88%,5.21%,41.2%
Knox County Nebraska,NEBRASKA,8.48%,12.88%,5.21%,48.3%
Sherman County Nebraska,NEBRASKA,9.03%,13.8%,5.58%,38%
Lyon County Nevada,NEVADA,12.33%,19.58%,6.62%,33%
Coos County New Hampshire,NEW HAMPSHIRE,10.53%,13.29%,6.88%,54.9%
Rock County Nebraska,NEBRASKA,8.42%,12.87%,5.16%,33.6%
Wheeler County Nebraska,NEBRASKA,9.03%,13.8%,5.58%,26.5%
Haywood County North Carolina,NORTH CAROLINA,13.6%,19.54%,10.43%,47.4%
Beaufort County North Carolina,NORTH CAROLINA,12.7%,18.47%,9.81%,46.1%
Bernalillo County New Mexico,NEW MEXICO,6.77%,11.91%,3.55%,50.2%
Ulster County New York,NEW YORK,6.74%,12.48%,4.74%,61%
Chowan County North Carolina,NORTH CAROLINA,13.31%,19.6%,10.17%,39.3%
Curry County New Mexico,NEW MEXICO,8.05%,14.53%,4.36%,25.1%
Cumberland County North Carolina,NORTH CAROLINA,14.61%,23.16%,11.12%,49.9%
Guadalupe County New Mexico,NEW MEXICO,8.05%,14.53%,4.36%,23.1%
Kings County New York,NEW YORK,6.27%,12.49%,4.42%,50.1%
Hyde County North Carolina,NORTH CAROLINA,12.53%,18.81%,9.69%,56.3%
Clinton County New York,NEW YORK,8.7%,16.13%,6.2%,65.1%
San Juan County New Mexico,NEW MEXICO,10.12%,17.33%,5.36%,64.3%
Cattaraugus County New York,NEW YORK,8.16%,15.37%,5.77%,48.7%
San Miguel County New Mexico,NEW MEXICO,6.1%,11.07%,3.14%,37.6%
Greene County New York,NEW YORK,7.03%,12.99%,4.97%,51.8%
Lincoln County New Mexico,NEW MEXICO,8.63%,15.49%,4.68%,36.2%
Carteret County North Carolina,NORTH CAROLINA,12.7%,18.47%,9.81%,35%
Duplin County North Carolina,NORTH CAROLINA,13.83%,20.85%,10.61%,30.9%
Quay County New Mexico,NEW MEXICO,8.05%,14.53%,4.36%,28.5%
Dutchess County New York,NEW YORK,6.33%,11.76%,4.48%,58.2%
Wyoming County New York,NEW YORK,7.67%,14.37%,5.31%,44.5%
Lewis County New York,NEW YORK,8.97%,17.37%,6.35%,46.6%
Saratoga County New York,NEW YORK,5.92%,10.73%,4.13%,70%
Taos County New Mexico,NEW MEXICO,6.1%,11.07%,3.14%,52.9%
Burke County North Carolina,NORTH CAROLINA,14.44%,20.9%,11.23%,36.2%
Currituck County North Carolina,NORTH CAROLINA,13.31%,19.6%,10.17%,41.2%
Suffolk County New York,NEW YORK,5.53%,9.98%,3.94%,61.1%
Lee County North Carolina,NORTH CAROLINA,11.91%,17.44%,9.15%,43.4%
Graham County North Carolina,NORTH CAROLINA,13.6%,19.54%,10.43%,37.8%
Warren County New York,NEW YORK,7.22%,13.4%,5.03%,68.7%
Granville County North Carolina,NORTH CAROLINA,14.67%,21.53%,11.6%,46.9%
Clay County North Carolina,NORTH CAROLINA,13.7%,19.84%,10.67%,29.2%
Catron County New Mexico,NEW MEXICO,7.26%,12.95%,3.88%,26.9%
De Baca County New Mexico,NEW MEXICO,8.05%,14.53%,4.36%,36.9%
Monroe County New York,NEW YORK,6.36%,12.27%,4.38%,63.5%
Cleveland County North Carolina,NORTH CAROLINA,13.6%,19.79%,10.52%,35.9%
Sullivan County New York,NEW YORK,6.83%,12.9%,4.85%,50%
Bertie County North Carolina,NORTH CAROLINA,12.53%,18.81%,9.69%,36.3%
Socorro County New Mexico,NEW MEXICO,7.26%,12.95%,3.88%,50.9%
Cayuga County New York,NEW YORK,7.76%,14.38%,5.46%,52.2%
Rio Arriba County New Mexico,NEW MEXICO,6.1%,11.07%,3.14%,57.3%
Harnett County North Carolina,NORTH CAROLINA,14.89%,22.28%,11.29%,30.7%
Albany County New York,NEW YORK,5.84%,11.36%,4.09%,65.6%
Westchester County New York,NEW YORK,5.03%,9.3%,3.57%,65.9%
Alleghany County North Carolina,NORTH CAROLINA,14.44%,20.78%,11.21%,47.5%
Grant County New Mexico,NEW MEXICO,7.26%,12.95%,3.88%,52.4%
Hamilton County New York,NEW YORK,8.7%,16.13%,6.2%,80%
Hoke County North Carolina,NORTH CAROLINA,15.11%,22.93%,11.56%,23.4%
Camden County North Carolina,NORTH CAROLINA,13.31%,19.6%,10.17%,33.8%
Davie County North Carolina,NORTH CAROLINA,13.7%,19.59%,10.56%,44.3%
St. Lawrence County New York,NEW YORK,8.64%,16.01%,6.26%,54.4%
Alexander County North Carolina,NORTH CAROLINA,15.03%,21.87%,11.7%,37.5%
Lea County New Mexico,NEW MEXICO,7.92%,13.55%,4.34%,22.8%
Franklin County North Carolina,NORTH CAROLINA,13.28%,20.27%,10.32%,37.3%
Chenango County New York,NEW YORK,7.65%,14.13%,5.36%,53.5%
Greene County North Carolina,NORTH CAROLINA,14.38%,21.71%,11.26%,32.6%
Forsyth County North Carolina,NORTH CAROLINA,12.58%,19.09%,9.61%,48.5%
Buncombe County North Carolina,NORTH CAROLINA,12.49%,18.14%,9.52%,52.8%
Chaves County New Mexico,NEW MEXICO,8.63%,15.49%,4.68%,32%
Valencia County New Mexico,NEW MEXICO,6.56%,11.51%,3.51%,41.7%
Allegany County New York,NEW YORK,8.16%,15.37%,5.77%,36.4%
Lenoir County North Carolina,NORTH CAROLINA,15.24%,23.31%,11.69%,40.7%
Delaware County New York,NEW YORK,7.65%,14.13%,5.36%,48.7%
McKinley County New Mexico,NEW MEXICO,13.5%,23.43%,7.07%,99.9%
Lincoln County North Carolina,NORTH CAROLINA,13.8%,19.86%,10.66%,37.9%
Roosevelt County New Mexico,NEW MEXICO,8.05%,14.53%,4.36%,22.6%
Cortland County New York,NEW YORK,7.52%,14.09%,5.28%,51.8%
Madison County New York,NEW YORK,7.52%,14.09%,5.28%,53.7%
Columbus County North Carolina,NORTH CAROLINA,15.34%,22.97%,11.96%,33.1%
Sierra County New Mexico,NEW MEXICO,7.26%,12.95%,3.88%,43.6%
Hidalgo County New Mexico,NEW MEXICO,7.26%,12.95%,3.88%,39.1%
Herkimer County New York,NEW YORK,7.52%,13.66%,5.21%,50.9%
Jackson County North Carolina,NORTH CAROLINA,13.69%,19.8%,10.64%,43.8%
Franklin County New York,NEW YORK,8.7%,16.13%,6.2%,55.7%
Tioga County New York,NEW YORK,7.56%,13.87%,5.27%,52.6%
Chatham County North Carolina,NORTH CAROLINA,11.91%,17.44%,9.15%,49%
Schuyler County New York,NEW YORK,8.48%,15.74%,5.97%,56.2%
Rockland County New York,NEW YORK,6.9%,12.65%,4.98%,57.3%
DoÃƒÂ±a Ana County New Mexico,NEW MEXICO,6.92%,12.77%,3.65%,47.5%
Chautauqua County New York,NEW YORK,7.52%,14.12%,5.26%,50.8%
Anson County North Carolina,NORTH CAROLINA,14.93%,22.17%,11.55%,21.4%
Bladen County North Carolina,NORTH CAROLINA,15.34%,22.97%,11.96%,27%
Hertford County North Carolina,NORTH CAROLINA,14.56%,22.26%,11.43%,22.7%
Wayne County New York,NEW YORK,7.51%,13.84%,5.29%,53.7%
Caldwell County North Carolina,NORTH CAROLINA,15.03%,21.87%,11.7%,37.6%
Gaston County North Carolina,NORTH CAROLINA,14.31%,20.85%,11%,36%
Guilford County North Carolina,NORTH CAROLINA,12.02%,18.48%,9.2%,48.3%
Cibola County New Mexico,NEW MEXICO,13.5%,23.43%,7.07%,55.8%
Schoharie County New York,NEW YORK,7.22%,13.59%,5.09%,48%
Bronx County New York,NEW YORK,6.76%,14.09%,4.65%,47.9%
Catawba County North Carolina,NORTH CAROLINA,13.19%,19.4%,10.13%,42.2%
Davidson County North Carolina,NORTH CAROLINA,14.45%,20.92%,11.19%,36.3%
Johnston County North Carolina,NORTH CAROLINA,13.44%,19.54%,10.25%,40.6%
Essex County New York,NEW YORK,8.7%,16.13%,6.2%,64.3%
Mora County New Mexico,NEW MEXICO,6.1%,11.07%,3.14%,41.1%
Alamance County North Carolina,NORTH CAROLINA,13.27%,19.69%,10.23%,45.8%
Fulton County New York,NEW YORK,7.96%,14.89%,5.53%,46%
Luna County New Mexico,NEW MEXICO,7.26%,12.95%,3.88%,49.6%
Edgecombe County North Carolina,NORTH CAROLINA,13.8%,21.24%,10.65%,35.1%
Union County New Mexico,NEW MEXICO,8.05%,14.53%,4.36%,16.4%
Harding County New Mexico,NEW MEXICO,8.05%,14.53%,4.36%,31.7%
Iredell County North Carolina,NORTH CAROLINA,12.63%,18.24%,9.74%,39%
Columbia County New York,NEW YORK,7.03%,12.99%,4.97%,63.1%
Ashe County North Carolina,NORTH CAROLINA,13.95%,20.42%,10.89%,41.1%
Tompkins County New York,NEW YORK,5.6%,10.99%,3.93%,69.9%
Brunswick County North Carolina,NORTH CAROLINA,11.06%,15.65%,8.52%,50.4%
Chemung County New York,NEW YORK,7.44%,13.8%,5.12%,51.4%
Santa Fe County New Mexico,NEW MEXICO,6.04%,10.64%,3.18%,55.4%
Jefferson County New York,NEW YORK,8.97%,17.37%,6.35%,61.2%
Cherokee County North Carolina,NORTH CAROLINA,13.7%,19.84%,10.67%,40%
Henderson County North Carolina,NORTH CAROLINA,12.37%,17.61%,9.48%,46.5%
Sandoval County New Mexico,NEW MEXICO,7.28%,12.28%,3.76%,59.2%
Eddy County New Mexico,NEW MEXICO,7.92%,13.55%,4.34%,30.1%
Richmond County New York,NEW YORK,5.67%,10.59%,4.01%,53.8%
Craven County North Carolina,NORTH CAROLINA,13.39%,20.13%,10.58%,46.6%
Livingston County New York,NEW YORK,7.67%,14.37%,5.31%,50.5%
Seneca County New York,NEW YORK,7.51%,13.84%,5.29%,47.6%
Broome County New York,NEW YORK,7.17%,13.75%,5%,56.4%
Jones County North Carolina,NORTH CAROLINA,15.24%,23.31%,11.69%,39.5%
Torrance County New Mexico,NEW MEXICO,7.26%,12.95%,3.88%,34.9%
Genesee County New York,NEW YORK,8.51%,15.58%,6.03%,52.6%
Otero County New Mexico,NEW MEXICO,8.63%,15.49%,4.68%,40.1%
Cabarrus County North Carolina,NORTH CAROLINA,12.71%,18.32%,9.76%,42.5%
Colfax County New Mexico,NEW MEXICO,8.05%,14.53%,4.36%,35.3%
Durham County North Carolina,NORTH CAROLINA,11.38%,17.3%,8.61%,57.1%
Halifax County North Carolina,NORTH CAROLINA,14.56%,22.26%,11.43%,41.6%
Schenectady County New York,NEW YORK,6.86%,12.94%,4.74%,62.4%
Yates County New York,NEW YORK,6.63%,12.13%,4.65%,49.6%
Gates County North Carolina,NORTH CAROLINA,13.31%,19.6%,10.17%,36.6%
Erie County New York,NEW YORK,6.44%,12.35%,4.45%,59.8%
Los Alamos County New Mexico,NEW MEXICO,6.1%,11.07%,3.14%,68.7%
Washington County New York,NEW YORK,7.22%,13.4%,5.03%,55.3%
Caswell County North Carolina,NORTH CAROLINA,14.67%,21.53%,11.6%,41%
Dare County North Carolina,NORTH CAROLINA,12.53%,18.81%,9.69%,65.2%
Steuben County New York,NEW YORK,8.19%,15.2%,5.73%,51.9%
Avery County North Carolina,NORTH CAROLINA,13.95%,20.42%,10.89%,42.4%
Garza County Texas,TEXAS,11.43%,17.58%,7.66%,
McCulloch County Texas,TEXAS,12.35%,18.73%,8.22%,
Hutchinson County Texas,TEXAS,12.41%,18.83%,8.24%,
Blanco County Texas,TEXAS,10.08%,14.75%,6.69%,
Haskell County Texas,TEXAS,12.78%,19.01%,8.6%,
Kenedy County Texas,TEXAS,9.92%,16.03%,6.42%,
Brazos County Texas,TEXAS,10.55%,16.82%,6.91%,
Kinney County Texas,TEXAS,10.7%,17.24%,7.05%,
Burleson County Texas,TEXAS,12.25%,18.64%,8.27%,
Erath County Texas,TEXAS,11.34%,16.89%,7.62%,
Dawson County Texas,TEXAS,12.35%,18.73%,8.22%,
Ector County Texas,TEXAS,11.13%,17.1%,7.31%,
Callahan County Texas,TEXAS,12.78%,19.01%,8.6%,
McHenry County North Dakota,NORTH DAKOTA,14.47%,19.75%,9.88%,40.1%
Jefferson County Ohio,OHIO,14.24%,20.14%,8.48%,43.8%
Ashtabula County Ohio,OHIO,16.56%,23.19%,10.08%,45.3%
McDowell County North Carolina,NORTH CAROLINA,14.44%,20.9%,11.23%,39.1%
Slope County North Dakota,NORTH DAKOTA,14.47%,19.75%,9.88%,11%
Mitchell County North Carolina,NORTH CAROLINA,13.95%,20.42%,10.89%,37.9%
Northampton County North Carolina,NORTH CAROLINA,14.56%,22.26%,11.43%,37.8%
Divide County North Dakota,NORTH DAKOTA,14.47%,19.75%,9.88%,40.4%
Licking County Ohio,OHIO,13.59%,18.61%,8.14%,50%
Wilson County North Carolina,NORTH CAROLINA,14.38%,21.71%,11.26%,40.2%
Rowan County North Carolina,NORTH CAROLINA,14.58%,21.37%,11.15%,33.6%
Warren County North Carolina,NORTH CAROLINA,13.69%,20.9%,10.67%,29.3%
Rutherford County North Carolina,NORTH CAROLINA,13.39%,19.71%,10.37%,30.8%
Burleigh County North Dakota,NORTH DAKOTA,12.36%,16.63%,8.35%,44.4%
Pasquotank County North Carolina,NORTH CAROLINA,13.31%,19.6%,10.17%,36.2%
Clermont County Ohio,OHIO,13.63%,18.45%,8.16%,51.3%
Geauga County Ohio,OHIO,11.56%,15.38%,7.07%,58.3%
Randolph County North Carolina,NORTH CAROLINA,15.46%,22.49%,11.97%,32.6%
Barnes County North Dakota,NORTH DAKOTA,13.95%,19.01%,9.63%,54%
Traill County North Dakota,NORTH DAKOTA,11.99%,16.8%,8.1%,48.7%
Dunn County North Dakota,NORTH DAKOTA,14.47%,19.75%,9.88%,21.6%
Pembina County North Dakota,NORTH DAKOTA,11.99%,16.8%,8.1%,49.9%
Stokes County North Carolina,NORTH CAROLINA,14.26%,20.96%,11.11%,28%
Butler County Ohio,OHIO,13.36%,18.83%,8.01%,49.2%
Fayette County Ohio,OHIO,16.65%,23%,10.22%,38.8%
Rolette County North Dakota,NORTH DAKOTA,13.95%,19.01%,9.63%,61.7%
Mahoning County Ohio,OHIO,13.57%,19.54%,8.07%,49.8%
Golden Valley County North Dakota,NORTH DAKOTA,14.47%,19.75%,9.88%,26.3%
Henry County Ohio,OHIO,14.16%,19.76%,8.48%,48.7%
Stark County North Dakota,NORTH DAKOTA,14.47%,19.75%,9.88%,33.2%
Highland County Ohio,OHIO,17.02%,23.69%,10.5%,33.5%
Macon County North Carolina,NORTH CAROLINA,13.7%,19.84%,10.67%,32.4%
Morton County North Dakota,NORTH DAKOTA,12.36%,16.63%,8.35%,39%
Montgomery County North Carolina,NORTH CAROLINA,12.39%,18.17%,9.46%,33%
Foster County North Dakota,NORTH DAKOTA,13.95%,19.01%,9.63%,51.6%
Sargent County North Dakota,NORTH DAKOTA,13.95%,19.01%,9.63%,58.7%
Athens County Ohio,OHIO,14.8%,21.38%,8.93%,43%
Stanly County North Carolina,NORTH CAROLINA,13.52%,19.37%,10.44%,18.4%
Washington County North Carolina,NORTH CAROLINA,12.53%,18.81%,9.69%,35.7%
McIntosh County North Dakota,NORTH DAKOTA,12.36%,16.63%,8.35%,38.8%
Richmond County North Carolina,NORTH CAROLINA,15.11%,22.93%,11.56%,38.2%
Jackson County Ohio,OHIO,16.86%,23.37%,10.43%,42.2%
Tyrrell County North Carolina,NORTH CAROLINA,12.53%,18.81%,9.69%,35.1%
Towner County North Dakota,NORTH DAKOTA,11.99%,16.8%,8.1%,45.4%
Hettinger County North Dakota,NORTH DAKOTA,14.47%,19.75%,9.88%,39.1%
Williams County North Dakota,NORTH DAKOTA,14.47%,19.75%,9.88%,25.7%
New Hanover County North Carolina,NORTH CAROLINA,12.07%,17.81%,9.15%,49.3%
Cass County North Dakota,NORTH DAKOTA,12.46%,17.56%,8.46%,54.5%
Lawrence County Ohio,OHIO,15.7%,21.95%,9.57%,37.1%
Clark County Ohio,OHIO,15.34%,21.78%,9.18%,48.4%
Gallia County Ohio,OHIO,14.8%,21.38%,8.93%,40.9%
Oliver County North Dakota,NORTH DAKOTA,14.47%,19.75%,9.88%,25.5%
Wells County North Dakota,NORTH DAKOTA,13.95%,19.01%,9.63%,41.7%
Pamlico County North Carolina,NORTH CAROLINA,12.7%,18.47%,9.81%,46.3%
Hancock County Ohio,OHIO,12.85%,17.78%,7.65%,45.4%
Wilkes County North Carolina,NORTH CAROLINA,14.44%,20.78%,11.21%,32.7%
Hocking County Ohio,OHIO,16.86%,23.37%,10.43%,42.5%
Mercer County North Dakota,NORTH DAKOTA,14.47%,19.75%,9.88%,37.7%
Hamilton County Ohio,OHIO,11.81%,16.97%,6.94%,56.3%
Brown County Ohio,OHIO,15.55%,21.17%,9.31%,36.3%
Madison County North Carolina,NORTH CAROLINA,13.6%,19.54%,10.43%,40.3%
Transylvania County North Carolina,NORTH CAROLINA,12.37%,17.61%,9.48%,46.4%
Union County North Carolina,NORTH CAROLINA,12.41%,17.89%,9.6%,42.9%
Adams County North Dakota,NORTH DAKOTA,14.47%,19.75%,9.88%,46.9%
Griggs County North Dakota,NORTH DAKOTA,11.99%,16.8%,8.1%,48%
Person County North Carolina,NORTH CAROLINA,14.67%,21.53%,11.6%,44.4%
Robeson County North Carolina,NORTH CAROLINA,17.45%,25.74%,13.48%,27.3%
Yancey County North Carolina,NORTH CAROLINA,13.95%,20.42%,10.89%,42.1%
Emmons County North Dakota,NORTH DAKOTA,12.36%,16.63%,8.35%,30.8%
Scotland County North Carolina,NORTH CAROLINA,15.11%,22.93%,11.56%,37.4%
McKenzie County North Dakota,NORTH DAKOTA,14.47%,19.75%,9.88%,19.3%
Orange County North Carolina,NORTH CAROLINA,9.55%,14.38%,7.31%,63.3%
Cavalier County North Dakota,NORTH DAKOTA,11.99%,16.8%,8.1%,59.7%
Lorain County Ohio,OHIO,13.07%,18.45%,7.69%,55.8%
Bottineau County North Dakota,NORTH DAKOTA,13.95%,19.01%,9.63%,48.6%
Sheridan County North Dakota,NORTH DAKOTA,13.95%,19.01%,9.63%,35.7%
Ransom County North Dakota,NORTH DAKOTA,13.95%,19.01%,9.63%,57.8%
Nelson County North Dakota,NORTH DAKOTA,13.95%,19.01%,9.63%,67.9%
Moore County North Carolina,NORTH CAROLINA,12.39%,18.17%,9.46%,50.4%
Watauga County North Carolina,NORTH CAROLINA,13.95%,20.42%,10.89%,45.3%
Adams County Ohio,OHIO,17.02%,23.69%,10.5%,29.8%
Auglaize County Ohio,OHIO,13.41%,18.49%,7.98%,39.4%
Lake County Ohio,OHIO,12.96%,17.93%,7.61%,57.9%
Stutsman County North Dakota,NORTH DAKOTA,13.95%,19.01%,9.63%,47%
Kidder County North Dakota,NORTH DAKOTA,12.36%,16.63%,8.35%,29.9%
Champaign County Ohio,OHIO,14.74%,20.52%,8.85%,40.9%
Hardin County Ohio,OHIO,14.74%,20.52%,8.85%,34.9%
Holmes County Ohio,OHIO,17.53%,23.7%,11.3%,18.5%
Martin County North Carolina,NORTH CAROLINA,12.53%,18.81%,9.69%,84.6%
Ramsey County North Dakota,NORTH DAKOTA,13.95%,19.01%,9.63%,54.3%
Vance County North Carolina,NORTH CAROLINA,13.28%,20.27%,10.32%,36.2%
Columbiana County Ohio,OHIO,14.36%,19.89%,8.5%,43.7%
Fulton County Ohio,OHIO,13.31%,18.87%,7.88%,47.8%
Lucas County Ohio,OHIO,13.57%,19.69%,8.02%,51.7%
Billings County North Dakota,NORTH DAKOTA,14.47%,19.75%,9.88%,17.6%
Grant County North Dakota,NORTH DAKOTA,14.47%,19.75%,9.88%,16.8%
Pitt County North Carolina,NORTH CAROLINA,12.5%,19.41%,9.53%,42.7%
Ward County North Dakota,NORTH DAKOTA,14.47%,19.75%,9.88%,40.4%
Bowman County North Dakota,NORTH DAKOTA,14.47%,19.75%,9.88%,36.7%
LaMoure County North Dakota,NORTH DAKOTA,13.95%,19.01%,9.63%,47.9%
Perquimans County North Carolina,NORTH CAROLINA,13.31%,19.6%,10.17%,19.9%
Guernsey County Ohio,OHIO,17.53%,23.7%,11.3%,41.2%
Swain County North Carolina,NORTH CAROLINA,13.6%,19.54%,10.43%,46.8%
Onslow County North Carolina,NORTH CAROLINA,15.99%,25.27%,12.37%,40.2%
McLean County North Dakota,NORTH DAKOTA,14.47%,19.75%,9.88%,42.2%
Logan County Ohio,OHIO,14.74%,20.52%,8.85%,39.4%
Yadkin County North Carolina,NORTH CAROLINA,13.7%,19.59%,10.56%,38.9%
Allen County Ohio,OHIO,15.5%,21.65%,9.24%,39.1%
Sioux County North Dakota,NORTH DAKOTA,14.47%,19.75%,9.88%,38.1%
Belmont County Ohio,OHIO,14.24%,20.14%,8.48%,39.9%
Wayne County North Carolina,NORTH CAROLINA,14.29%,22.11%,10.93%,38.8%
Sampson County North Carolina,NORTH CAROLINA,13.83%,20.85%,10.61%,38.7%
Dickey County North Dakota,NORTH DAKOTA,13.95%,19.01%,9.63%,52.4%
Knox County Ohio,OHIO,15.86%,21.97%,9.61%,39.6%
Rockingham County North Carolina,NORTH CAROLINA,14.26%,20.96%,11.11%,37.9%
Nash County North Carolina,NORTH CAROLINA,13.8%,21.24%,10.65%,43.1%
Mountrail County North Dakota,NORTH DAKOTA,14.47%,19.75%,9.88%,35.1%
Eddy County North Dakota,NORTH DAKOTA,13.95%,19.01%,9.63%,52.4%
Renville County North Dakota,NORTH DAKOTA,14.47%,19.75%,9.88%,34.9%
Wake County North Carolina,NORTH CAROLINA,10.18%,14.95%,7.69%,58.4%
Madison County Ohio,OHIO,15.91%,21.7%,9.68%,44.9%
Surry County North Carolina,NORTH CAROLINA,14.44%,20.78%,11.21%,40.9%
Burke County North Dakota,NORTH DAKOTA,14.47%,19.75%,9.88%,37.8%
Polk County North Carolina,NORTH CAROLINA,13.39%,19.71%,10.37%,35.9%
Carroll County Ohio,OHIO,13.94%,19.21%,8.38%,40.1%
Mecklenburg County North Carolina,NORTH CAROLINA,11.09%,16.8%,8.32%,47%
Greene County Ohio,OHIO,12.24%,17.11%,7.16%,57%
Huron County Ohio,OHIO,14.87%,20.68%,8.99%,42.2%
Pierce County North Dakota,NORTH DAKOTA,13.95%,19.01%,9.63%,44.3%
Walsh County North Dakota,NORTH DAKOTA,11.99%,16.8%,8.1%,52%
Harrison County Ohio,OHIO,15.8%,22.01%,9.7%,39.3%
Benson County North Dakota,NORTH DAKOTA,13.95%,19.01%,9.63%,38.8%
Pender County North Carolina,NORTH CAROLINA,12.46%,17.85%,9.47%,40.4%
Logan County North Dakota,NORTH DAKOTA,12.36%,16.63%,8.35%,33.1%
Grand Forks County North Dakota,NORTH DAKOTA,11.99%,16.8%,8.1%,51.7%
Steele County North Dakota,NORTH DAKOTA,11.99%,16.8%,8.1%,45.6%
Clinton County Ohio,OHIO,17.02%,23.69%,10.5%,42.9%
Franklin County Ohio,OHIO,12.67%,18.15%,7.41%,55.9%
Richland County North Dakota,NORTH DAKOTA,13.95%,19.01%,9.63%,49.3%
Ashland County Ohio,OHIO,14.87%,20.68%,8.99%,37%
Hamblen County Tennessee,TENNESSEE,15.19%,22.46%,9.67%,32.9%
Sherman County Oregon,OREGON,11.46%,14.31%,8.69%,48.4%
Beckham County Oklahoma,OKLAHOMA,17.6%,23.73%,12.16%,35.6%
Shelby County Ohio,OHIO,14.3%,19.69%,8.54%,34.4%
Wyandot County Ohio,OHIO,14.68%,20.64%,8.8%,44.8%
Stark County Ohio,OHIO,14.19%,19.92%,8.43%,48.1%
Coal County Oklahoma,OKLAHOMA,20.29%,26.52%,14.11%,34.7%
Pickaway County Ohio,OHIO,15.91%,21.7%,9.68%,43.8%
Wagoner County Oklahoma,OKLAHOMA,17.62%,23.04%,12.03%,37.1%
Gilliam County Oregon,OREGON,11.46%,14.31%,8.69%,37.2%
Ross County Ohio,OHIO,16.65%,23%,10.22%,44.3%
Canadian County Oklahoma,OKLAHOMA,18.48%,23.64%,12.7%,46.7%
Okmulgee County Oklahoma,OKLAHOMA,19.82%,26.2%,13.76%,33.6%
Custer County Oklahoma,OKLAHOMA,17.6%,23.73%,12.16%,40.3%
Lincoln County Oklahoma,OKLAHOMA,19.05%,24.94%,13.24%,32%
Union County Ohio,OHIO,15.91%,21.7%,9.68%,56.4%
Stephens County Oklahoma,OKLAHOMA,19.75%,26.04%,13.63%,39.6%
Crook County Oregon,OREGON,11.46%,14.31%,8.69%,42.3%
Major County Oklahoma,OKLAHOMA,19.71%,25.77%,13.92%,42.5%
Wasco County Oregon,OREGON,11.46%,14.31%,8.69%,56.5%
Garfield County Oklahoma,OKLAHOMA,18.46%,24.15%,12.65%,38%
Klamath County Oregon,OREGON,12.22%,15.69%,9.19%,42.9%
Noble County Oklahoma,OKLAHOMA,18.46%,24.15%,12.65%,50.7%
Lake County Oregon,OREGON,12.22%,15.69%,9.19%,34.1%
Benton County Oregon,OREGON,10.7%,13.45%,8.04%,66.6%
Medina County Ohio,OHIO,12.04%,16.22%,7.12%,58.5%
